modelo,ventana,unidad,MAE,RMSE,MAPE,tiempo_segundos,inicio_prueba,fin_prueba,n_observaciones
Random Forest,4,Agregado,0.19459907079933497,0.6410045544198723,6.506663021452626,0.877410899993265,2025-03-13 21:00:00,2025-03-31 22:45:00,752
XGBoost,4,Agregado,0.197165012477753,0.6432151840821624,6.50030101231722,0.18962289999763016,2025-03-13 21:00:00,2025-03-31 22:45:00,752
LSTM,4,Agregado,0.19887773901521397,0.6614112386714528,6.707079593284428,8.00824479998846,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Línea base de persistencia,4,Agregado,0.2203526316489362,0.7031081857765589,6.365673004701298,5.4100004490464926e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Random Forest,12,Agregado,0.1938480375914752,0.6417904678205829,6.509058886115213,1.7492639999982202,2025-03-13 21:00:00,2025-03-31 22:45:00,752
XGBoost,12,Agregado,0.19867189539544122,0.6465565194144192,6.565957504358533,0.24279179998848122,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Línea base de persistencia,12,Agregado,0.2203526316489362,0.7031081857765589,6.365673004701298,5.709999823011458e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,752
LSTM,12,Agregado,0.22580233287405463,0.680035083577521,6.970045648974402,9.4808985000127,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Random Forest,24,Agregado,0.19229342798012933,0.6485061046266488,6.538116210854739,2.9771908999973675,2025-03-13 21:00:00,2025-03-31 22:45:00,752
XGBoost,24,Agregado,0.2061635383108829,0.696228137731875,6.863324294770057,0.35131209999963176,2025-03-13 21:00:00,2025-03-31 22:45:00,752
LSTM,24,Agregado,0.2155195449767823,0.6804102744037432,6.905592631654432,11.949521000002278,2025-03-13 21:00:00,2025-03-31 22:45:00,752
Línea base de persistencia,24,Agregado,0.2203526316489362,0.7031081857765589,6.365673004701298,5.079999391455203e-05,2025-03-13 21:00:00,2025-03-31 22:45:00,752
