modelo,unidad,MAE,RMSE,MAPE,n_observaciones
Línea base de persistencia,G1,0.27520655851063835,0.6044401689211081,4.517176737045586,376
Línea base de persistencia,G2,0.16549870478723408,0.7895405778087852,8.214169272357012,376
Línea base de persistencia,Agregado,0.2203526316489362,0.7031081857765589,6.365673004701298,752
Random Forest,G1,0.23898213189522416,0.6435583948741896,5.168396957603701,376
Random Forest,G2,0.13612157176886,0.6442578901008212,7.776827136001653,376
Random Forest,Agregado,0.18755185183204207,0.6439082374726252,6.472612046802677,752
XGBoost,G1,0.3229795675732227,0.9503057172222877,7.0404209284503,376
XGBoost,G2,0.136827885960031,0.6434173381671935,7.7837316282337445,376
XGBoost,Agregado,0.22990372676662688,0.8115007169557902,7.412076278342024,752
LSTM,G1,0.26224200183584334,0.7007698438077089,5.75998927757562,376
LSTM,G2,0.1397791706463428,0.6473021259962806,7.822901594457562,376
LSTM,Agregado,0.20101058624109305,0.6745659405534737,6.791445436016594,752
